claim_id,gold_label,coverage_top_score,cn_classification,cn_note_id,claim
cn_000,REFUTED,13.69,MISINFORMED_OR_POTENTIALLY_MISLEADING,1433243655230349312,Ivermectin is solely a drug formulated for cows and horses.
cn_001,SUPPORTED,3.233,MISINFORMED_OR_POTENTIALLY_MISLEADING,1972905736456859956,There is no indication or evidence that Erika Kirk is pregnant.
cn_002,REFUTED,14.49,MISINFORMED_OR_POTENTIALLY_MISLEADING,1800688549253263368,Public opinion polls determine the effectiveness of COVID-19 vaccines.
cn_003,SUPPORTED,4.27,MISINFORMED_OR_POTENTIALLY_MISLEADING,1952062242049961992,Autofagia não é um processo confirmado pelo estudo em humanos que faz o corpo 'devorar' o câncer.
cn_004,SUPPORTED,3.759,MISINFORMED_OR_POTENTIALLY_MISLEADING,1564302970749353984,Heart attacks can occur in children for various reasons.
cn_005,NEI,-2.709,MISINFORMED_OR_POTENTIALLY_MISLEADING,1947305182699630846,La Svizzera ha vietato la mammografia e questo porta a falsi positivi al 60% e aumenta i rischi di cancro.
cn_006,REFUTED,12.842,MISINFORMED_OR_POTENTIALLY_MISLEADING,1768170171024519366,The polio vaccine causes polio in children.
cn_007,SUPPORTED,12.93,MISINFORMED_OR_POTENTIALLY_MISLEADING,1938139632119779555,G-Dragon is working with the government to combat drug usage amongst youths and has made donations towards the cause.
cn_008,SUPPORTED,13.178,MISINFORMED_OR_POTENTIALLY_MISLEADING,1729826610491105349,"Some rats and mice can carry harmful diseases such as SPH, leptospirosis, lymphocytic choriomeningitis, plague, and typhus."
cn_009,SUPPORTED,7.502,MISINFORMED_OR_POTENTIALLY_MISLEADING,1754781124864229692,The development of cancer due to emotional shock is not supported by scientific consensus.
cn_010,SUPPORTED,14.001,MISINFORMED_OR_POTENTIALLY_MISLEADING,1544842158410194945,Half of COVID deaths in the US occurred among individuals outside traditional working age.
cn_011,REFUTED,5.169,MISINFORMED_OR_POTENTIALLY_MISLEADING,1748197169402904621,Joe Biden's son's brain tumor was caused by exposure to burn pits during his deployment in Iraq.
cn_012,REFUTED,13.658,MISINFORMED_OR_POTENTIALLY_MISLEADING,1833849644431872209,An increased incidence of significant adverse effects or a higher risk of rapid cancer progression has been reported after receiving the COVID-19 vaccine.
cn_013,REFUTED,4.28,MISINFORMED_OR_POTENTIALLY_MISLEADING,1661806356758929408,The cause of injury was due to a single factor only.
cn_014,SUPPORTED,13.775,MISINFORMED_OR_POTENTIALLY_MISLEADING,1823945372231688252,The chimpanzee adenovirus vector is wholly different from Monkeypox and there is no possibility of them being linked.
cn_015,NEI,-4.052,MISINFORMED_OR_POTENTIALLY_MISLEADING,1769515817589150128,Prof. Bhakdi did not present data or images in the video conference regarding experiments involving mRNA injection.
cn_016,SUPPORTED,8.391,MISINFORMED_OR_POTENTIALLY_MISLEADING,1786109347962974684,"VAERS is a passive surveillance system jointly managed by the CDC and the FDA, not an organization that determines what injuries can be paid out by VICP."
cn_017,REFUTED,11.45,MISINFORMED_OR_POTENTIALLY_MISLEADING,1678805200667017219,Certain types of honeybee venom can effectively eradicate cancer in humans.
cn_018,REFUTED,15.407,MISINFORMED_OR_POTENTIALLY_MISLEADING,1723233025788690794,Stroke in children is a new phenomenon since the onset of COVID-19.
cn_019,REFUTED,13.565,MISINFORMED_OR_POTENTIALLY_MISLEADING,1681073409680347137,Callie Driskill's death was related to a COVID-19 vaccine.
